Algorithm, Generation, Reward
SARSA, 0, -100
SARSA, 1, -44
SARSA, 2, 15
SARSA, 3, -100
SARSA, 0, 21
SARSA, 1, 36
SARSA, 2, 22
SARSA, 3, 41
SARSA, 4, 41
SARSA, 5, 34
SARSA, 6, 45
SARSA, 7, 45
SARSA, 8, 45
SARSA, 9, 45
SARSA, 10, 45
SARSA, 11, 45
SARSA, 12, 44
SARSA, 13, 45
SARSA, 14, 45
SARSA, 15, 44
SARSA, 16, 45
SARSA, 17, 45
SARSA, 18, 44
SARSA, 19, 45
SARSA, 20, 44
SARSA, 21, 45
SARSA, 22, 44
SARSA, 23, 44
SARSA, 24, 45
SARSA, 25, 45
SARSA, 26, 45
SARSA, 27, 45
SARSA, 28, 45
SARSA, 29, 45
SARSA, 30, 45
SARSA, 31, 45
SARSA, 32, 45
SARSA, 33, 45
SARSA, 34, 45
SARSA, 35, 45
SARSA, 36, 45
SARSA, 37, 45
SARSA, 38, 45
SARSA, 39, 45
SARSA, 40, 45
SARSA, 41, 45
SARSA, 42, 45
SARSA, 43, 44
SARSA, 44, 45
SARSA, 45, 42
SARSA, 46, 45
SARSA, 47, 44
SARSA, 48, 45
SARSA, 49, 45
SARSA, 50, 45
SARSA, 51, 45
SARSA, 52, 45
SARSA, 53, 45
SARSA, 54, 45
SARSA, 55, 45
SARSA, 56, 45
SARSA, 57, 45
SARSA, 58, 45
SARSA, 59, 45
SARSA, 60, 45
SARSA, 61, 45
SARSA, 62, 45
SARSA, 0, -48
SARSA, 0, -100
SARSA, 0, 13
SARSA, 1, -100
SARSA, 0, -100
SARSA, 1, -47
SARSA, 0, -100
SARSA, 1, -100
SARSA, 0, -100
SARSA, 0, -33
SARSA, 1, -18
SARSA, 2, -100
SARSA, 3, -100
SARSA, 4, -24
SARSA, 5, -100
SARSA, 0, -100
SARSA, 0, -100
SARSA, 0, 0
SARSA, 1, 0
SARSA, 2, -6
SARSA, 0, -100
SARSA, 1, -100
SARSA, 0, -100
SARSA, 1, -100
SARSA, 2, -100
SARSA, 3, -100
SARSA, 4, -100
SARSA, 5, -100
SARSA, 6, -100
SARSA, 7, -100
SARSA, 8, -100
SARSA, 9, -100
SARSA, 10, -100
SARSA, 11, -100
SARSA, 12, -100
SARSA, 13, -100
SARSA, 14, -100
SARSA, 15, -100
SARSA, 16, -100
SARSA, 17, -100
SARSA, 18, -100
SARSA, 19, -100
SARSA, 20, -100
SARSA, 21, -100
SARSA, 22, -100
SARSA, 23, -100
SARSA, 24, -100
SARSA, 25, -100
SARSA, 26, -100
SARSA, 27, -100
SARSA, 28, -100
SARSA, 29, -100
SARSA, 30, -100
SARSA, 31, -100
SARSA, 32, -100
SARSA, 33, -100
SARSA, 34, -100
SARSA, 35, -100
SARSA, 36, -100
SARSA, 37, -100
SARSA, 38, -100
SARSA, 39, -100
SARSA, 40, -100
SARSA, 41, -100
SARSA, 42, -100
SARSA, 43, -18
SARSA, 44, -100
SARSA, 0, 7
SARSA, 1, -100
SARSA, 2, -4
SARSA, 3, 7
SARSA, 4, -46
SARSA, 0, -100
SARSA, 1, -100
SARSA, 0, -100
SARSA, 1, -100
SARSA, 2, -100
SARSA, 3, -100
SARSA, 4, -100
SARSA, 5, -100
SARSA, 6, -100
SARSA, 7, -100
SARSA, 8, -100
SARSA, 0, -100
SARSA, 1, -100
SARSA, 2, -100
SARSA, 3, -100
SARSA, 4, -100
SARSA, 5, -100
SARSA, 0, 32
SARSA, 1, 24
SARSA, 2, 19
SARSA, 3, 46
SARSA, 4, 40
SARSA, 5, 44
SARSA, 6, -100
SARSA, 0, -100
SARSA, 1, -100
SARSA, 0, 24
SARSA, 0, -100
SARSA, 1, -100
SARSA, 2, -100
SARSA, 3, -100
SARSA, 0, -100
SARSA, 0, -100
SARSA, 0, -20
SARSA, 0, -100
SARSA, 1, -100
SARSA, 2, -100
SARSA, 3, -100
SARSA, 4, -100
SARSA, 5, -100
SARSA, 6, -100
SARSA, 7, -100
SARSA, 8, -100
SARSA, 0, -100
SARSA, 1, -100
SARSA, 2, -25
SARSA, 0, -100
SARSA, 1, -100
SARSA, 2, -100
SARSA, 0, -100
SARSA, 1, -100
SARSA, 0, -100
SARSA, 0, -100
SARSA, 0, -100
