Algorithm, Generation, Reward
Q-Learning, 0, -100
Q-Learning, 1, -100
Q-Learning, 2, -100
Q-Learning, 3, -100
Q-Learning, 4, -100
Q-Learning, 5, -100
Q-Learning, 6, -100
Q-Learning, 7, -100
Q-Learning, 8, -100
Q-Learning, 9, -100
Q-Learning, 10, -100
Q-Learning, 11, -4
Q-Learning, 12, -100
Q-Learning, 13, -28
Q-Learning, 14, -100
Q-Learning, 15, -100
Q-Learning, 16, -100
Q-Learning, 17, -100
Q-Learning, 18, -100
Q-Learning, 19, -100
Q-Learning, 20, -100
Q-Learning, 21, -100
Q-Learning, 22, -100
Q-Learning, 23, -100
Q-Learning, 24, -100
Q-Learning, 25, 22
Q-Learning, 26, -100
Q-Learning, 27, 10
